index,query_request,intent
0,interested in product and service information,Sales
1,"I cannot even call Optimum the worst customer service ever, bc I cannot get through to customer service!!! I spent 3 hours waiting on hold on phone this morning, 1 hour waiting for a response on the online â¿¿chatâ¿ support feature, I have tried to send",Appointment Related
2,@caitoconn203 @lababbage @optimum @OptimumHelp Read their twitter bios @OptimumHelp I have very important friends. Fix this ASAP. 28 hours and counting no WiFi and cable...,Internet
3,Please call me. 347-977-4502,Internet
4,"Hi, is there a way I can watch live tv online via smartphone or laptop?",Internet
5,I want to pay all other balance today via on line before another suspension and late charge are happening.,Billing
6,"If by the ""home button"" you mean the button that looks like it has an ""A"" on it, when I press it nothing happens.",Video
7,no dial tone on my phone line ending in 5501,Phone
8,"Voicemail: Download, E-Mail, or Save Messages",Phone
9,"Altice USA executives in information technology and engineering joined the Early College Awareness Day at John W Dodd Middle School in Freeport, NY last week, sharing their career backgrounds and offering advice to students. It was a great day of inspirin",Billing
10,i have a 1 year contract with fios,Sales
11,"Great. Please remove the surcharge from my bill. You had promised me this on 17 August 2018, for 12 months: ""$39.99 - This is what you can expect to see on your bill every month before taxes """,Billing
12,I am trying to determine what internet I have on my account,Sales
13,My WiFi is not workin in my house,Internet
14,"FYI, the folks at the Optimum store said only tech support has the ability to inform us if there is an outage. There are serious issues, as your tech support line says the wait is â¿¿more than 45 minutesâ¿ and Iâ¿¿ve been awaiting a call from them for tw",Video
15,Optimum WiFi: Unable to Connect Using my iPad,Internet
16,"I mean, you guys said it should be done by 6am, but itâ¿¿s 11 minutes before 6am.",Internet
17,Please reboot my box. Nothing is working and the voice search hasnâ¿¿t worked since my last message to you guys.,Video
18,Hello,Billing
19,My dvr is not working AGAIN! What is going on?,Video
20,What is the altice mini,Sales
21,845 223 6540. 138 N Cross Rd Lagrangeville NY. ,Account Related
22,"I get that , I mean this not necessarily we look for all the minor changes each time. I use to pay without checking the bill. If you are adamant not to understand then itâ¿¿s ok. I am repenting on being loyal customer from years even through I had better",Billing
23,So i should pay 300+ out of the 600 that is the bill and in order for me to get services back on i had to pay 300 now is 600,Billing
24,"Itâ¿¿s back! Router was flashing orange for about 2 hrs, but all good now. Thanks for your assistance",Internet
25,"And don't patronize me and tell me when a charge can and can't be waived, you can wave whatever you choose to.",Billing
26,"Either way, Iâ¿¿m glad the outage is over, and have regained fast internet.",Internet
27,You're welcome. :-),Billing
28,Hello. What account information do you need? My phone died at 2.5 hours of waiting and I'm about to attempt calling back on my cell,Internet
29,Downloading and Accessing the Optimum App for iPad,Video
30,The lights were on so I unplugged it for a minute and just turned it back on,Internet
31,But the speed did fluctuate with the laptop as well,Internet
32,I moved to Brooklyn in October and have had nothing but issues with the internet. Service goes out every evening and most of the time it's incredibly slow and the equipment needs to be rebooted multiple times for it to work at a reasonable speed. Contacti,Billing
33,I think I fixed it is there anyway for you to see?,Internet
34,"Can you check whatâ¿¿s going on with my WiFi ? Is there some sort of outage going on in the Stratford, CT AREA ?",Internet
35,@OptimumHelp can I remove Fox News from my cable package and make sure no money from my bill is going to support it? If not Iâ¿¿d like to cancel my cable package,Billing
36,"I am moving to 215 Haworth Pl, Somerset, NJ 08873. Is your service available there?",Sales
37,"Hi I wanted to know how much I will be getting charged each month, the Altice One and 2 Altice one mini's are a one month payment right and then the payment will be 64.99 for the core tv and internet for a year?",Sales
38,Itâ¿¿s happening all all and coaxel tight,Video
39,I can troubleshoot now if you can--what do I do?,Internet
40,"Shahid Nawaz, 6 Ellbridge Court, South Setauket, NY 11720",Account Related
41,So @OptimumHelp automated customer service hung up on me and the online chat won't connect me with anyone. I need to get this billing issue resolved and cant get help.,Billing
42,All of a sudden my TV is only picking up a few channels. The rest are black except for the channel ID on bottom.,Video
43,Ridiculous. My cable doesnâ¿¿t work. No time for you to fix it until next week. Your tech didnâ¿¿t show even tho says he was there st 3:06. I was there. No one rang a bell or knocked.,Billing
44,@OptimumHelp Really? FOX is broadcasting Rent live and youâ¿¿re having broadcasting issues?,Video
45,Thank you. Is it possible to receive a statement credit as the internet has been out for a week now?,Billing
46,Creating Custom Personal Email Folder,Internet
47,@optimum is your company sensitive to customers with certain situations because they were affected by the government shutdown?,Billing
48,This plan is include TV Japan?,Sales
49,is altice cheaper than my current cable setup?,Sales
50,So thereâ¿¿s nothing to do to keep me from cancelling as I intended to do on 12/17? The monthly bill is just too high.,Billing
51,what stations are on the select tv package,Sales
52,"Hi, I am currently having a massive amount of connection issues based on the service. I have Netflix on and my Xbox and it is currently having poor service on the Xbox. My account had optimum 400 and quite frankly, this is absolutely unacceptable due to t",Internet
53,Now I disconnected the modem once again to start it up again,Internet
